 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  no,  no,  1,  4175.265,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  825.246,  0.60,  0.05,  0.60,  0.30,  -0.70,  0.35,  0 
 vs,  no,  no,  1,  2680.011,  0.50,  0.40,  0.60,  0.05,  -0.50,  0.45,  0 
 vs,  yes,  yes,  1,  2157.413,  0.30,  0.30,  0.60,  -0.09,  -0.50,  0.21,  0 
 vs,  yes,  no,  0,  2559.404,  0.50,  0.15,  0.50,  -0.33,  -0.50,  -0.17,  0 
 vs,  yes,  yes,  1,  1991.634,  0.50,  0.15,  0.50,  -0.33,  -0.50,  -0.17,  0 
 vs,  no,  no,  1,  2951.517,  0.80,  0.05,  0.60,  0.36,  -0.50,  0.41,  0 
 vs,  no,  no,  1,  2473.710,  0.30,  0.25,  0.60,  -0.28,  -0.60,  -0.03,  0 
 vs,  yes,  yes,  1,  1655.079,  0.50,  0.35,  0.60,  -0.43,  -0.60,  -0.08,  0 
 vs,  yes,  yes,  1,  700.184,  0.50,  0.25,  0.60,  -0.38,  -0.70,  -0.12,  0 
 vs,  yes,  no,  0,  2391.627,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  1895.180,  0.50,  0.15,  0.50,  -0.33,  -0.50,  -0.17,  0 
 vs,  yes,  yes,  1,  643.681,  0.30,  0.30,  0.60,  -0.09,  -0.50,  0.21,  0 
 vs,  no,  no,  1,  2721.783,  0.60,  0.05,  0.60,  0.30,  -0.70,  0.35,  0 
 vs,  yes,  yes,  1,  2901.212,  0.60,  0.10,  0.50,  0.27,  -0.60,  0.37,  0 
 vs,  yes,  yes,  1,  744.769,  0.40,  0.40,  0.50,  -0.33,  -0.60,  0.07,  0 
 vs,  yes,  yes,  1,  1922.924,  0.50,  0.25,  0.60,  0.12,  -0.50,  0.38,  0 
 vs,  yes,  yes,  1,  2765.444,  0.50,  0.35,  0.60,  0.07,  -0.60,  0.43,  0 
 vs,  yes,  yes,  1,  2006.894,  0.50,  0.35,  0.60,  0.07,  -0.60,  0.43,  0 
 vs,  no,  no,  1,  3454.734,  0.60,  0.10,  0.50,  0.27,  -0.60,  0.37,  0 
 vs,  yes,  yes,  1,  860.455,  0.50,  0.20,  0.70,  -0.33,  -0.50,  -0.13,  0 
 vs,  no,  no,  1,  2585.950,  0.50,  0.10,  0.60,  -0.32,  -0.70,  -0.22,  0 
 vs,  no,  no,  1,  2794.672,  0.40,  0.35,  0.60,  -0.14,  -0.70,  0.21,  0 
 vs,  no,  no,  1,  2978.846,  0.50,  0.25,  0.60,  0.12,  -0.50,  0.38,  0 
